timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1660104534980,272,Request_1,,,Thread Group 1-1,text,true,,0,0,1,1,null,0,0,0
1660104535260,296,RandomRequest_1,,,Thread Group 1-1,text,true,,0,0,1,1,null,0,0,0
1660104535557,338,Request_4,,,Thread Group 1-1,text,true,,0,0,1,1,null,0,0,0
1660104535896,169,RandomRequest_4,,,Thread Group 1-1,text,true,,0,0,1,1,null,0,0,0
1660104536065,336,Request_7,,,Thread Group 1-1,text,true,,0,0,1,1,null,0,0,0
1660104536402,164,RandomRequest_1,,,Thread Group 1-1,text,true,,0,0,1,1,null,0,0,0
1660104536566,329,Request_10,,,Thread Group 1-1,text,true,,0,0,1,1,null,0,0,0
1660104536895,150,RandomRequest_5,,,Thread Group 1-1,text,true,,0,0,1,1,null,0,0,0
1660104537046,300,Request_13,,,Thread Group 1-1,text,true,,0,0,1,1,null,0,0,0
1660104537347,345,RandomRequest_3,,,Thread Group 1-1,text,true,,0,0,1,1,null,0,0,0
